inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
FBPFZTCFMRRESA-JGWLITMVSA-N,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",KEGG:C00794,"{""O"": 6, ""C"": 6, ""H"": 14, ""e-"": 98}","[13.38, 12.59]",OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.0,"[12, 13, 14]","[-2, -1, 0]",KEGG:C00794
LKDRXBCSQODPBY-OEXCPVAWSA-N,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5+,6?/m1/s1",KEGG:C00795,"{""O"": 6, ""C"": 6, ""H"": 12, ""e-"": 96}","[13.57, 12.64, 10.29]",OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,3.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00795
SXMOKYXNAPLNCW-GORZOVPNSA-N,"InChI=1S/C22H36N7O17P3S/c1-22(2,17(33)20(34)25-4-3-13(31)24-5-6-50-11-30)8-43-49(40,41)46-48(38,39)42-7-12-16(45-47(35,36)37)15(32)21(44-12)29-10-28-14-18(23)26-9-27-19(14)29/h9-12,15-17,21,32-33H,3-8H2,1-2H3,(H,24,31)(H,25,34)(H,38,39)(H,40,41)(H2,23,26,27)(H2,35,36,37)/t12-,15-,16-,17+,21-/m1/s1",KEGG:C00798,"{""C"": 22, ""O"": 17, ""P"": 3, ""H"": 32, ""N"": 7, ""S"": 1, ""e-"": 414}","[6.15, 5.58, 4.85, 3.79, 3.12, 0.91, 0.82]",CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCSC=O,0.0,"[32, 33, 34, 35, 36, 37, 38, 39]","[-4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00798
ROWKJAVDOGWPAT-GSVOUGTGSA-N,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3/t3-/m1/s1",KEGG:C00810,"{""C"": 4, ""H"": 8, ""O"": 2, ""e-"": 48}",[13.72],C[C@@H](O)C(C)=O,1.0,"[7, 8]","[-1, 0]",KEGG:C00810
PTWSIIUEOFZCHW-NTCAYCPXSA-N,"InChI=1S/C21H24O2/c1-14(2)8-7-9-15(3)12-13-17-16(4)20(22)18-10-5-6-11-19(18)21(17)23/h5-6,8,10-12H,7,9,13H2,1-4H3/b15-12+",KEGG:C00828,"{""C"": 21, ""O"": 2, ""H"": 24, ""e-"": 166}",[],CC(C)=CCCC(C)=CCC1=C(C)C(=O)C2=CC=CC=C2C1=O,0.0,[24],[0],KEGG:C00828
VPVOXUSPXFPWBN-VKHMYHEASA-N,"InChI=1S/C9H11N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3,15H,2H2,1H3,(H4,10,11,13,14,17)/t3-/m0/s1",KEGG:C00835,"{""C"": 9, ""H"": 11, ""O"": 3, ""N"": 5, ""e-"": 124}","[13.6, 1.28]",C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,1.0,"[10, 11, 12]","[-1, 0, 1]",KEGG:C00835
YSYKRGRSMLTJNL-URARBOGNSA-N,"InChI=1S/C16H26N2O16P2/c1-6-3-18(16(25)17-14(6)24)10-2-7(20)9(31-10)5-30-35(26,27)34-36(28,29)33-15-13(23)12(22)11(21)8(4-19)32-15/h3,7-13,15,19-23H,2,4-5H2,1H3,(H,26,27)(H,28,29)(H,17,24,25)/t7-,8+,9+,10+,11+,12-,13+,15+/m0/s1",KEGG:C00842,"{""C"": 16, ""N"": 2, ""H"": 24, ""O"": 16, ""P"": 2, ""e-"": 294}","[13.92, 13.14, 12.2, 7.62, 3.18, 1.73]",CC1=CN([C@H]2C[C@H](O)[C@@H](COP([O-])(=O)OP([O-])(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)C(=O)NC1=O,4.0,"[20, 21, 22, 23, 24, 25, 26]","[-6, -5, -4, -3, -2, -1, 0]",KEGG:C00842
XEKOWRVHYACXOJ-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",KEGG:C00849,"{""C"": 4, ""O"": 2, ""H"": 8, ""e-"": 48}",[],CCOC(C)=O,0.0,[8],[0],KEGG:C00849
HPXRVTGHNJAIIH-UHFFFAOYSA-N,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",KEGG:C00854,"{""O"": 1, ""C"": 6, ""H"": 12, ""e-"": 56}",[],OC1CCCCC1,0.0,[12],[0],KEGG:C00854
QZNPNKJXABGCRC-FUTKDDECSA-N,"InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h3,5-8,10-11H,2H2,1H3/t3-,5-,6-/m0/s1",KEGG:C00861,"{""C"": 6, ""H"": 12, ""O"": 5, ""e-"": 88}","[13.58, 12.21]",C[C@H](O)[C@H](O)[C@@H](O)C(=O)CO,2.0,"[10, 11, 12]","[-2, -1, 0]",KEGG:C00861
GHOKWGTUZJEAQD-ZETCQYMHSA-N,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",KEGG:C00864,"{""C"": 9, ""O"": 5, ""H"": 16, ""N"": 1, ""e-"": 118}","[13.87, 5.08, 4.41, 2.37]",CC(C)(CO)[C@@H](O)C(=O)NCCC([O-])=O,1.0,"[15, 16, 17, 18, 19]","[-2, -1, 0, 1, 2]",KEGG:C00864
GEHSZWRGPHDXJO-NALJQGANSA-N,"InChI=1S/C29H36N5O18P/c1-12(25(42)31-17(28(46)47)4-6-21(38)30-16(27(44)45)5-7-22(39)40)52-53(49,50)51-11-20(37)23(41)19(36)10-34-18-9-14(35)3-2-13(18)8-15-24(34)32-29(48)33-26(15)43/h2-3,8-9,12,16-17,19-20,23,35-37,41H,4-7,10-11H2,1H3,(H,30,38)(H,31,42)(H,39,40)(H,44,45)(H,46,47)(H,49,50)(H,33,43,48)/t12-,16-,17-,19-,20+,23-/m0/s1",KEGG:C00876,"{""C"": 29, ""H"": 31, ""O"": 18, ""P"": 1, ""N"": 5, ""e-"": 404}","[8.98, 5.81, 5.22, 4.42, 3.96, 3.48, 2.94, 1.77]",C[C@H](OP([O-])(=O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1C2=C(C=CC(O)=C2)C=C2C(=O)[N-]C(=O)N=C12)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC([O-])=O)C([O-])=O)C([O-])=O,1.0,"[30, 31, 32, 33, 34, 35, 36, 37, 38]","[-6, -5, -4, -3, -2, -1, 0, 1, 2]",KEGG:C00876
KFWWCMJSYSSPSK-PAXLJYGASA-N,"InChI=1S/C25H40N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h4-5,12-14,18-20,24,35-36H,6-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/b5-4+/t14-,18-,19-,20+,24-/m1/s1",KEGG:C00877,"{""C"": 25, ""O"": 17, ""S"": 1, ""N"": 7, ""H"": 36, ""P"": 3, ""e-"": 436}","[6.18, 5.62, 4.86, 3.79, 3.12, 0.91, 0.82]",CC=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12,0.0,"[36, 37, 38, 39, 40, 41, 42, 43]","[-4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00877
