reaction	dGr	dGrSD
"r_0330"	8.2538	1.6411
"r_0331"	8.2538	1.6411
"r_0332"	-9.6928	3.1602
"r_0333"	-356.364	13.4925
"r_0334"	-10.2599	1.937
"r_0335"	-14.6918	9.3031
"r_0336"	-6.491	10.1354
"r_0337"	1.6119	5.4441
"r_0338"	-27.0392	3.4325
"r_0339"	2.8818	9.0504
"r_0340"	-69.8781	7.7072
"r_0341"	-49.5597	8.6862
"r_0343"	-19.4702	6.4088
"r_0344"	-14.8997	5.8697
"r_0345"	-2.9521	4.2426
"r_0346"	2103.2581	100000.0001
"r_0347"	-1539.9382	106904.4983
"r_0348"	-1542.6478	106904.4983
"r_0349"	-27.9651	6.6575
"r_0350"	-135.9925	7.3269
"r_0351"	-27.6897	5.2551
"r_0352"	-26.7865	5.2655
"r_0353"	28.9485	1.6582
"r_0354"	11.8194	4.4746
"r_0355"	-12.8022	4.5176
"r_0356"	-46.4085	8.8725
"r_0357"	-18.9968	6.7731
"r_0358"	-17.6352	6.3751
"r_0359"	-15.2705	7.8339
"r_0360"	-0.65564	1.825
"r_0361"	-17.6005	6.3751
"r_0362"	0.36237	4.2426
"r_0363"	-110.5445	7.2012
"r_0364"	-31.6287	5.2849
"r_0365"	-12.8066	4.4844
"r_0366"	2.5655	3.6317
"r_0367"	3.244	5.9999
"r_0368"	3.244	5.9999
"r_0369"	-8.9622	14.4339
"r_0372"	-16.6122	4.7542
"r_0373"	-124.0875	6.695
"r_0374"	-119.8102	6.2973
"r_0375"	-26.6124	4.5355
"r_0376"	-26.6124	4.5355
"r_0377"	-16.9403	5.7619
"r_0378"	11.3074	2.2941
"r_0379"	-13.7383	1.4645
"r_0380"	-39.3813	5.1904
"r_0381"	-3.8444	4.8989
"r_0382"	-37.2519	2.9021
"r_0383"	-61.6002	3.7992
"r_0384"	-37.924	1.6872
"r_0385"	-37.9238	1.6872
"r_0386"	-14.2301	5.2783
"r_0387"	-71.4839	3.2155
"r_0388"	-37.6651	5.0765
"r_0389"	2.478	25.8346
"r_0390"	-29.1289	21.655
"r_0391"	72.9976	141421.3565
"r_0392"	-13.8078	5.4985
"r_0393"	223.1159	70710.6784
"r_0395"	-3.6937	4.2426
"r_0396"	-39.2414	5.1904
"r_0398"	-4.1156	0.44125
"r_0400"	-20.7124	5.9433
"r_0401"	-12.2281	6.6471
"r_0402"	0	0
"r_0405"	-73.8523	3.6427
"r_0407"	-644.7102	51.5518
"r_0408"	-511.1091	49.2194
"r_0409"	-726.7171	59.2026
"r_0410"	-593.116	56.867
"r_0415"	-251.6222	23.1017
"r_0416"	-246.0209	23.0169
"r_0417"	-68.5132	13.9963
"r_0418"	-68.5231	13.9963
"r_0419"	-68.5231	13.9963
"r_0420"	-464.4367	18.7546
"r_0421"	-60.9626	15.4137
"r_0422"	-464.4367	18.7546
"r_0423"	-76.0836	15.9783
"r_0424"	-471.9972	20.198
